Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
ZNF366	FLJ39796	ENSG00000178175	Zinc finger protein 366	5	72442652-72507727	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA023128, HPA023526	Uncertain					Mixed	Mixed			placenta: 10.2	Cell line enhanced		HUVEC TERT2: 1.0;TIME: 1.1
ZNF37A	KOX21, ZNF37	ENSG00000075407	Zinc finger protein 37A	10	38094334-38150293	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA003172	Approved		Approved	Vesicles	Renal cancer:2.31e-4 (unfavourable), Liver cancer:2.83e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 18.1	Expressed in all		
ZNF382	FLJ14686, KS1	ENSG00000161298	Zinc finger protein 382	19	36604817-36634113	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA049259	Approved		Approved	Nuclear speckles		Mixed	Mixed			cerebral cortex: 10.9	Mixed		
ZNF383	FLJ35863	ENSG00000188283	Zinc finger protein 383	19	37217926-37248738	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA063945	Approved		Supported	Nucleus<br>Nuclear membrane	Urothelial cancer:3.71e-4 (favourable), Pancreatic cancer:9.97e-4 (favourable)	Expressed in all	Mixed			thyroid gland: 9.2	Mixed		
ZNF384	CAGH1A, CIZ, NMP4, NP, TNRC1	ENSG00000126746	Zinc finger protein 384	12	6666477-6689572	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA004051	Supported		Supported	Nucleoplasm		Expressed in all	Expressed in all			endometrium: 66.0	Expressed in all		
ZNF391	dJ153G14.3	ENSG00000124613	Zinc finger protein 391	6	27374615-27403904	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA050886	Uncertain				Ovarian cancer:1.89e-4 (favourable)	Mixed	Mixed			testis: 9.0	Mixed		
ZNF394	FLJ12298, ZKSCAN14, ZSCAN46	ENSG00000160908	Zinc finger protein 394	7	99486519-99500324	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA051421, HPA054639	Uncertain		Approved	Nucleoplasm<br>Cytosol	Urothelial cancer:1.09e-4 (favourable), Lung cancer:2.11e-4 (favourable), Breast cancer:3.56e-4 (favourable)	Expressed in all	Expressed in all			bone marrow: 62.0	Expressed in all		
ZNF396	FLJ31213, ZSCAN14	ENSG00000186496	Zinc finger protein 396	18	35366697-35377337	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA006686	Uncertain					Mixed	Mixed			thyroid gland: 14.3	Mixed		
ZNF397	MGC13250, ZNF47, ZSCAN15	ENSG00000186812	Zinc finger protein 397	18	35241030-35267133	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA026087	Uncertain		Approved	Nucleoli<br>Plasma membrane<br>Microtubules<br>Cytosol	Pancreatic cancer:9.44e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 30.8	Mixed		
ZNF398	KIAA1339, P51, P71, ZER6	ENSG00000197024	Zinc finger protein 398	7	149126416-149182802	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA071533			Approved	Nucleoplasm<br>Mitochondria		Expressed in all	Expressed in all			testis: 16.1	Expressed in all		
ZNF404		ENSG00000176222	Zinc finger protein 404	19	43872363-43901385	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA032014, HPA063607	Uncertain		Approved	Nucleoli<br>Intermediate filaments		Mixed	Mixed			epididymis: 11.7	Cell line enriched	6	U-2 OS: 45.7
ZNF407	FLJ13839, FLJ20307, KIAA1703	ENSG00000215421	Zinc finger protein 407	18	74597870-75065671	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA028255, HPA041673	Uncertain		Approved	Nucleoplasm<br>Plasma membrane	Renal cancer:9.79e-5 (favourable)	Expressed in all	Mixed			parathyroid gland: 9.0	Mixed		
ZNF408	FLJ12827	ENSG00000175213	Zinc finger protein 408	11	46700818-46705912	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA017892	Uncertain		Approved	Microtubule organizing center<br>Cytosol	Liver cancer:6.59e-5 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 8.3	Expressed in all		
ZNF41	MGC8941, MRX89	ENSG00000147124	Zinc finger protein 41	X	47445879-47482946	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA069102	Enhanced		Approved	Nucleoplasm	Renal cancer:6.95e-4 (favourable), Head and neck cancer:8.32e-4 (favourable)	Expressed in all	Mixed			parathyroid gland: 19.4	Expressed in all		
ZNF410	APA-1, APA1	ENSG00000119725	Zinc finger protein 410	14	73886617-73932511	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA002871			Approved	Nuclear bodies		Mixed	Expressed in all			testis: 81.3	Expressed in all		
ZNF414	MGC15716, Zfp414	ENSG00000133250	Zinc finger protein 414	19	8509678-8514164	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA053769	Approved		Approved	Nucleus<br>Cytosol	Head and neck cancer:1.67e-6 (favourable), Endometrial cancer:4.17e-4 (favourable), Pancreatic cancer:4.59e-4 (favourable), Urothelial cancer:8.71e-4 (favourable)	Expressed in all	Expressed in all			spleen: 12.3	Mixed		
ZNF415		ENSG00000170954	Zinc finger protein 415	19	53107879-53133077	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA005553	Approved		Approved	Nucleoli fibrillar center<br>Microtubules		Mixed	Mixed			testis: 39.6	Cell line enhanced		RT4: 17.7
ZNF416	FLJ20557	ENSG00000083817	Zinc finger protein 416	19	57571566-57578927	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA063318			Approved	Nuclear bodies<br>Cytosol	Renal cancer:1.20e-5 (favourable)	Expressed in all	Mixed			testis: 7.8	Mixed		
ZNF417	MGC34079	ENSG00000173480	Zinc finger protein 417	19	57900296-57916610	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA042125, HPA043288, HPA056213	Uncertain		Uncertain	Nucleoplasm	Urothelial cancer:3.48e-4 (favourable)	Expressed in all	Expressed in all			epididymis: 59.9	Mixed		
ZNF418	FLJ31551, KIAA1956	ENSG00000196724	Zinc finger protein 418	19	57921884-57935393	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA043800, HPA053762, HPA072145	Approved		Uncertain	Nucleus	Prostate cancer:1.72e-4 (unfavourable)	Mixed	Mixed			parathyroid gland: 14.8	Cell line enhanced		AF22: 11.0
ZNF419	ZAPHIR, ZNF419A	ENSG00000105136	Zinc finger protein 419	19	57487711-57496097	Predicted intracellular proteins, Predicted secreted proteins, Transcription factors	Evidence at protein level	HPA003152, HPA003274	Uncertain		Supported	Nucleus<br>Nucleoli fibrillar center	Urothelial cancer:2.53e-5 (favourable), Prostate cancer:6.47e-4 (unfavourable)	Expressed in all	Mixed			parathyroid gland: 16.2	Mixed		
ZNF420	FLJ32191	ENSG00000197050	Zinc finger protein 420	19	37007857-37130314	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA059675	Approved		Approved	Nucleoplasm	Glioma:4.88e-5 (favourable), Renal cancer:1.83e-4 (favourable)	Expressed in all	Mixed			testis: 18.5	Mixed		
ZNF423	Ebfaz, JBTS19, KIAA0760, NPHP14, OAZ, Roaz, Zfp104	ENSG00000102935	Zinc finger protein 423	16	49487524-49857919	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA015258, HPA065820	Uncertain		Enhanced	Nucleus		Mixed	Mixed			fallopian tube: 15.4	Cell line enhanced		AF22: 53.5;NTERA-2: 27.7;REH: 22.3;SCLC-21H: 34.3;SH-SY5Y: 92.6
ZNF425		ENSG00000204947	Zinc finger protein 425	7	149102784-149126346	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA020087	Uncertain		Supported	Nucleus		Mixed	Mixed			parathyroid gland: 5.5	Mixed		
ZNF426	MGC2663	ENSG00000130818	Zinc finger protein 426	19	9523224-9538645	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA029342	Approved		Approved	Nucleoplasm	Renal cancer:2.57e-6 (favourable), Urothelial cancer:1.81e-4 (favourable), Head and neck cancer:3.74e-4 (favourable)	Expressed in all	Mixed			esophagus: 22.7	Mixed		
ZNF429		ENSG00000197013	Zinc finger protein 429	19	21496682-21556270	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA004139			Approved	Nucleus	Ovarian cancer:1.96e-8 (favourable), Pancreatic cancer:7.30e-4 (favourable)	Mixed	Mixed			thyroid gland: 16.3	Mixed		
ZNF43	HTF6, KOX27, ZNF39L1	ENSG00000198521	Zinc finger protein 43	19	21804949-21852125	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA050271	Uncertain				Ovarian cancer:3.16e-5 (favourable)	Mixed	Mixed			testis: 16.2	Cell line enhanced		MOLT-4: 31.1
ZNF430	FLJ13659	ENSG00000118620	Zinc finger protein 430	19	21020620-21060050	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA059135	Uncertain					Mixed	Mixed			ovary: 15.8	Mixed		
ZNF431	KIAA1969	ENSG00000196705	Zinc finger protein 431	19	21142024-21196053	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA059135	Uncertain					Mixed	Mixed			ovary: 26.8	Mixed		
ZNF432	KIAA0798	ENSG00000256087	Zinc finger protein 432	19	52031379-52095738	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA052082, HPA060274, HPA065606	Uncertain		Supported	Nucleoplasm	Urothelial cancer:4.11e-5 (favourable), Renal cancer:6.47e-4 (unfavourable)	Expressed in all	Expressed in all			prostate: 21.1	Mixed		
ZNF433	FLJ40981	ENSG00000197647	Zinc finger protein 433	19	12014732-12035741	Predicted intracellular proteins, Predicted secreted proteins, Transcription factors	Evidence at protein level	HPA073724	Uncertain		Approved	Nuclear bodies	Renal cancer:8.33e-15 (favourable)	Expressed in all	Expressed in all			testis: 51.5	Mixed		
ZNF436	KIAA1710, Zfp46	ENSG00000125945	Zinc finger protein 436	1	23359448-23369442	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA043817	Enhanced		Supported	Nucleoplasm<br>Cytosol		Expressed in all	Mixed			ovary: 12.4	Cell line enhanced		HSkMC: 26.4
ZNF438	bA330O11.1	ENSG00000183621	Zinc finger protein 438	10	30820207-31031937	Predicted intracellular proteins, Predicted secreted proteins, Transcription factors	Evidence at protein level	HPA039843	Uncertain		Supported	Nucleoplasm<br>Cytosol		Expressed in all	Mixed			thyroid gland: 16.2	Cell line enhanced		U-937: 19.8
ZNF439	DKFZp571K0837	ENSG00000171291	Zinc finger protein 439	19	11848726-11883750	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA047845	Uncertain		Uncertain	Nucleus		Mixed	Mixed			parathyroid gland: 25.5	Cell line enhanced		U-138 MG: 15.4
ZNF44	KOX7, ZNF504, ZNF55, ZNF58	ENSG00000197857	Zinc finger protein 44	19	12224686-12294887	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA003146	Supported		Approved	Nucleoplasm<br>Microtubules<br>Cytosol	Urothelial cancer:9.21e-6 (favourable), Lung cancer:7.54e-4 (favourable), Head and neck cancer:8.74e-4 (favourable)	Expressed in all	Mixed			skin: 8.6	Mixed		
ZNF440	FLJ37933	ENSG00000171295	Zinc finger protein 440	19	11814284-11835201	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA047845	Uncertain		Uncertain	Nucleus	Renal cancer:1.18e-4 (favourable), Prostate cancer:3.57e-4 (unfavourable), Urothelial cancer:9.88e-4 (favourable)	Expressed in all	Mixed			fallopian tube: 23.2	Mixed		
ZNF441	FLJ38637	ENSG00000197044	Zinc finger protein 441	19	11767000-11784078	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA063338			Approved	Nuclear speckles		Expressed in all	Mixed			thyroid gland: 12.1	Mixed		
ZNF442	FLJ14356	ENSG00000198342	Zinc finger protein 442	19	12345949-12365905	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA045738, HPA053407	Uncertain		Approved	Nuclear membrane<br>Vesicles		Mixed	Mixed			ovary: 6.0	Mixed		
ZNF443	ZK1	ENSG00000180855	Zinc finger protein 443	19	12429707-12441112	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA003150, HPA018683	Supported		Uncertain	Nucleoplasm<br>Microtubule organizing center	Renal cancer:2.74e-7 (favourable), Urothelial cancer:3.91e-4 (favourable)	Expressed in all	Mixed			parathyroid gland: 7.0	Mixed		
ZNF444	EZF2, FLJ11137, ZSCAN17	ENSG00000167685	Zinc finger protein 444	19	56132599-56160893	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA056895, HPA065203	Approved		Supported	Nucleus<br>Nucleoli	Urothelial cancer:1.87e-4 (favourable), Renal cancer:2.61e-4 (unfavourable)	Expressed in all	Expressed in all			seminal vesicle: 27.8	Expressed in all		
ZNF445	ZKSCAN15, ZNF168, ZSCAN47	ENSG00000185219	Zinc finger protein 445	3	44431720-44477670	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA006678	Uncertain		Approved	Nucleus<br>Mitochondria<br>Cytosol		Expressed in all	Mixed			parathyroid gland: 7.2	Mixed		
ZNF446	FLJ20626, ZKSCAN20, ZSCAN52	ENSG00000083838	Zinc finger protein 446	19	58474017-58481230	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA052786			Approved	Nuclear speckles	Pancreatic cancer:1.32e-4 (favourable)	Expressed in all	Mixed			fallopian tube: 11.6	Expressed in all		
ZNF449	FLJ23614, ZSCAN19	ENSG00000173275	Zinc finger protein 449	X	135344796-135363152	Predicted intracellular proteins, Predicted secreted proteins, Transcription factors	Evidence at protein level	HPA018079	Uncertain		Approved	Nucleoplasm<br>Cytosol		Expressed in all	Expressed in all			parathyroid gland: 12.3	Mixed		
ZNF45	ZNF13	ENSG00000124459	Zinc finger protein 45	19	43912629-43935278	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA038611, HPA075124	Uncertain		Supported	Nucleoplasm		Expressed in all	Mixed			parathyroid gland: 18.3	Expressed in all		
ZNF451	COASTER, dJ417I1.1, KIAA0576, KIAA1702	ENSG00000112200	Zinc finger protein 451	6	57086844-57170307	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA028838			Approved	Nucleus		Expressed in all	Expressed in all			testis: 51.2	Expressed in all		
ZNF454	FLJ37444	ENSG00000178187	Zinc finger protein 454	5	178941191-178966433	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA024556	Uncertain					Mixed	Mixed			testis: 4.0	Cell line enhanced		AF22: 1.0;EFO-21: 1.9;HHSteC: 1.3;HSkMC: 1.3;NTERA-2: 1.5;SH-SY5Y: 1.1
ZNF460	HZF8, ZNF272	ENSG00000197714	Zinc finger protein 460	19	57280051-57293569	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA053004, HPA066506	Uncertain		Approved	Nucleoplasm		Mixed	Mixed			adrenal gland: 6.3	Cell line enhanced		Karpas-707: 9.7
ZNF461	GIOT-1, MGC33911	ENSG00000197808	Zinc finger protein 461	19	36637192-36666853	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA021139	Uncertain		Approved	Nucleus<br>Nucleoli<br>Golgi apparatus	Endometrial cancer:3.64e-4 (unfavourable)	Expressed in all	Mixed			thyroid gland: 6.2	Mixed		
ZNF462	DKFZP762N2316, KIAA1803, Zfp462	ENSG00000148143	Zinc finger protein 462	9	106863097-107013634	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA022283	Uncertain		Approved	Nucleoplasm	Renal cancer:6.19e-4 (favourable)	Mixed	Mixed			parathyroid gland: 15.9	Mixed		
ZNF467	EZI, Zfp467	ENSG00000181444	Zinc finger protein 467	7	149764182-149773479	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA042907	Uncertain		Approved	Mitochondria	Pancreatic cancer:4.56e-4 (favourable)	Expressed in all	Mixed			spleen: 14.1	Cell line enhanced		AN3-CA: 30.3;HMC-1: 16.5;T-47d: 17.2
ZNF468		ENSG00000204604	Zinc finger protein 468	19	52838008-52857649	Predicted intracellular proteins, Transcription factors	Evidence at transcript level						Renal cancer:3.94e-7 (favourable), Breast cancer:6.87e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 20.4	Mixed		
ZNF469	KIAA1858	ENSG00000225614	Zinc finger protein 469	16	88427471-88440757	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA069784			Approved	Vesicles		Mixed	Mixed			cervix, uterine: 2.2	Cell line enhanced		SiHa: 5.3;THP-1: 4.3
ZNF470	CZF-1, FLJ26175	ENSG00000197016	Zinc finger protein 470	19	56567511-56588911	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA029000	Uncertain		Supported	Nucleoplasm<br>Nuclear bodies		Mixed	Mixed			cerebral cortex,testis: 5.8	Cell line enhanced		HEK 293: 10.0
ZNF471	KIAA1396, Z1971	ENSG00000196263	Zinc finger protein 471	19	56507843-56530221	Cancer-related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA066695	Uncertain		Supported	Nucleus	Renal cancer:2.37e-4 (favourable)	Mixed	Mixed			ovary: 27.4	Mixed		
ZNF479	KR19	ENSG00000185177	Zinc finger protein 479	7	57119614-57139864	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at transcript level							Not detected	Tissue enriched	42	testis: 4.1	all non-specific tissues: 0.0	Not detected		
ZNF48	DKFZp762K013, FLJ31751, MGC43952, ZNF553	ENSG00000180035	Zinc finger protein 48	16	30378106-30400108	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA023806	Uncertain		Supported	Mitochondria	Pancreatic cancer:1.20e-6 (favourable), Renal cancer:7.50e-5 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 14.0	Expressed in all		
ZNF480	MGC32104	ENSG00000198464	Zinc finger protein 480	19	52297177-52325922	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA042218	Uncertain		Supported	Nucleoplasm	Melanoma:1.65e-4 (unfavourable), Renal cancer:2.03e-4 (favourable)	Expressed in all	Mixed			lymph node: 14.8	Mixed		
ZNF483	KIAA1962, ZKSCAN16, ZSCAN48	ENSG00000173258	Zinc finger protein 483	9	111525159-111577844	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA055041	Uncertain		Approved	Nucleoli		Tissue enhanced	Mixed			cerebral cortex: 13.0	Cell line enhanced		NTERA-2: 7.5;SCLC-21H: 5.1
ZNF484	BA526D8.4, FLJ33884	ENSG00000127081	Zinc finger protein 484	9	92845031-92878038	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA028973	Uncertain		Approved	Nucleoplasm<br>Nuclear membrane<br>Cytosol		Mixed	Mixed			parathyroid gland: 6.9	Mixed		
ZNF485		ENSG00000198298	Zinc finger protein 485	10	43606407-43617903	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA059356	Uncertain				Breast cancer:5.24e-4 (unfavourable)	Expressed in all	Mixed			testis: 7.2	Mixed		
ZNF487	KRBO1, ZNF487P	ENSG00000243660	Zinc finger protein 487	10	43436841-43483179	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA037820			Approved	Nucleoplasm<br>Nuclear membrane<br>Cytosol		Mixed	Tissue enriched	5	testis: 51.4	fallopian tube: 9.9	Mixed		
ZNF490	KIAA1198	ENSG00000188033	Zinc finger protein 490	19	12577961-12640098	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA005576	Uncertain					Mixed	Mixed			thyroid gland: 2.8	Mixed		
ZNF491	FLJ34791	ENSG00000177599	Zinc finger protein 491	19	11797667-11809622	Predicted intracellular proteins, Transcription factors	Evidence at protein level							Mixed	Mixed			parathyroid gland: 3.6	Mixed		
ZNF492	KIAA1473, ZNF115	ENSG00000229676	Zinc finger protein 492	19	22634324-22667670	Predicted intracellular proteins, Transcription factors	Evidence at transcript level							Group enriched	Tissue enhanced		testis: 3.6	bone marrow: 1.6	Cell line enhanced		BEWO: 5.4;NTERA-2: 4.1;U-2197: 3.7
ZNF493	FLJ36504	ENSG00000196268	Zinc finger protein 493	19	21397119-21427573	Predicted intracellular proteins, Transcription factors	Evidence at protein level							Mixed	Expressed in all			thyroid gland: 34.6	Mixed		
ZNF496	MGC15548, ZKSCAN17, ZSCAN49	ENSG00000162714	Zinc finger protein 496	1	247297412-247331846	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA055834			Uncertain	Golgi apparatus		Expressed in all	Expressed in all			fallopian tube: 24.2	Expressed in all		
ZNF497	FLJ44773	ENSG00000174586	Zinc finger protein 497	19	58354357-58362848	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA047872	Uncertain		Approved	Nucleus<br>Cell Junctions		Mixed	Mixed			fallopian tube: 8.1	Cell line enhanced		HEK 293: 18.3
ZNF500	KIAA0557, ZKSCAN18, ZSCAN50	ENSG00000103199	Zinc finger protein 500	16	4748239-4767624	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA035498, HPA057963	Supported		Enhanced	Nucleoplasm<br>Cytosol	Stomach cancer:3.41e-4 (favourable)	Expressed in all	Mixed			spleen: 5.6	Expressed in all		
ZNF501	MGC21738, ZNF52	ENSG00000186446	Zinc finger protein 501	3	44729596-44737083	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA044161	Uncertain		Approved	Endoplasmic reticulum		Mixed	Mixed			prostate,testis: 2.7	Mixed		
ZNF502	FLJ12515, FLJ14855	ENSG00000196653	Zinc finger protein 502	3	44712643-44723831	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA024761, HPA029557	Uncertain				Renal cancer:4.51e-5 (favourable), Urothelial cancer:2.06e-4 (favourable)	Expressed in all	Mixed			testis: 5.0	Mixed		
ZNF506	DKFZp761G1812	ENSG00000081665	Zinc finger protein 506	19	19785839-19821751	Predicted intracellular proteins, Transcription factors	Evidence at transcript level							Expressed in all	Expressed in all			thyroid gland: 16.2	Mixed		
ZNF507	KIAA1084	ENSG00000168813	Zinc finger protein 507	19	32345594-32387667	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA030964, HPA049728	Uncertain		Supported	Nucleoli<br>Cytosol		Expressed in all	Expressed in all			testis: 35.0	Expressed in all		
ZNF510	KIAA0972	ENSG00000081386	Zinc finger protein 510	9	96755865-96778129	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA049139	Uncertain		Approved	Nucleoplasm<br>Plasma membrane	Renal cancer:5.94e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 12.5	Expressed in all		
ZNF511	MGC30006	ENSG00000198546	Zinc finger protein 511	10	133308475-133313162	Predicted membrane proteins, Predicted secreted proteins, Transcription factors	Evidence at protein level	HPA035360	Uncertain				Renal cancer:1.13e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 12.2	Expressed in all		
ZNF512	KIAA1805	ENSG00000243943	Zinc finger protein 512	2	27582969-27623215	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA031430	Approved		Enhanced	Nucleus	Lung cancer:5.08e-9 (favourable), Endometrial cancer:5.10e-4 (unfavourable), Pancreatic cancer:5.19e-4 (favourable), Breast cancer:9.79e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 45.7	Mixed		
ZNF512B	GM632, MGC149845, MGC149846	ENSG00000196700	Zinc finger protein 512B	20	63956702-63969865	Plasma proteins, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA006688	Approved		Approved	Nucleoplasm		Expressed in all	Expressed in all			cerebral cortex,parathyroid gland: 16.9	Mixed		
ZNF513	FLJ32203, RP58	ENSG00000163795	Zinc finger protein 513	2	27377231-27380790	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA051493	Uncertain				Liver cancer:6.21e-5 (unfavourable)	Expressed in all	Expressed in all			testis: 25.9	Expressed in all		
ZNF514	FLJ14457	ENSG00000144026	Zinc finger protein 514	2	95147330-95165413	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA028974	Approved		Approved	Nucleoplasm<br>Nuclear bodies		Expressed in all	Expressed in all			epididymis: 32.8	Expressed in all		
ZNF516	HsT287, KIAA0222	ENSG00000101493	Zinc finger protein 516	18	76358190-76495190	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA015792	Uncertain		Approved	Nucleoplasm<br>Cytosol	Renal cancer:1.21e-4 (favourable), Liver cancer:2.79e-4 (unfavourable), Breast cancer:7.09e-4 (favourable), Pancreatic cancer:7.96e-4 (favourable)	Expressed in all	Expressed in all			endometrium: 54.4	Mixed		
ZNF517		ENSG00000197363	Zinc finger protein 517	8	144798876-144811169	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA055337			Approved	Nucleoplasm	Pancreatic cancer:1.66e-4 (favourable)	Expressed in all	Mixed			skin: 7.5	Mixed		
ZNF518A	KIAA0335, ZNF518	ENSG00000177853	Zinc finger protein 518A	10	96129715-96205288	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA029049			Approved	Nucleus		Expressed in all	Mixed			testis: 30.1	Mixed		
ZNF518B	KIAA1729	ENSG00000178163	Zinc finger protein 518B	4	10439874-10457410	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA031215, HPA031216	Approved		Approved	Nucleus		Mixed	Mixed			testis: 16.9	Mixed		
ZNF519	FLJ36809, HsT2362	ENSG00000175322	Zinc finger protein 519	18	14057457-14132490	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA028982	Uncertain		Approved	Nucleoli		Mixed	Mixed			endometrium: 4.0	Mixed		
ZNF521	EHZF, Evi3	ENSG00000198795	Zinc finger protein 521	18	25061926-25352190	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA023056, HPA023849	Enhanced		Approved	Nucleoplasm		Mixed	Mixed			spleen: 29.0	Cell line enhanced		AF22: 66.8;HUVEC TERT2: 39.1
ZNF524	MGC23143	ENSG00000171443	Zinc finger protein 524	19	55600022-55603138	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA050981	Uncertain		Approved	Nucleus	Urothelial cancer:4.98e-8 (favourable)	Expressed in all	Expressed in all			spleen: 15.7	Mixed		
ZNF526	KIAA1951, MGC4267	ENSG00000167625	Zinc finger protein 526	19	42220271-42228201	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA023070, HPA056609	Uncertain		Approved	Nucleus<br>Golgi apparatus<br>Vesicles		Expressed in all	Mixed			skin: 6.2	Expressed in all		
ZNF527	KIAA1829	ENSG00000189164	Zinc finger protein 527	19	37371061-37393066	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA037740, HPA037741	Uncertain		Approved	Nuclear speckles<br>Golgi apparatus		Mixed	Mixed			parathyroid gland: 4.8	Mixed		
ZNF528	KIAA1827	ENSG00000167555	Zinc finger protein 528	19	52397849-52418412	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA065435			Approved	Nuclear speckles<br>Cytosol		Expressed in all	Expressed in all			thyroid gland: 31.1	Mixed		
ZNF529	KIAA1615	ENSG00000186020	Zinc finger protein 529	19	36534774-36605276	Predicted intracellular proteins, Transcription factors	Evidence at transcript level	HPA031311	Uncertain		Approved	Nucleoplasm	Urothelial cancer:1.39e-5 (favourable)	Expressed in all	Mixed			testis: 17.4	Mixed		
